PID,Social Media Post,Normalized Claim,post
1891,HOW MANY TIMES DO THE BRITISH PEOPLE HAVE TO VOTE TO TELL THE GOVERNMENT HOW WORRIED THEY ARE ABOUT IMMIGRATION? BEST CONCERNED ABOUT HOUSING. EDUCATION THAT THE NUMBERS ENTERING BRITAINARE TOO GREAT. THAT THEY FEEL SECOND CLASS WE ARE CONSTANTLY IGNORED & OVERRULED.,One million ‘legal migrants’ moved to Britain in 2020/21.,how many times do the british people have to vote to tell the government how worried they are about immigration? best concerned about housing. education that the numbers entering britainare too great. that they feel second class we are constantly ignored overruled.
1892,We and other chapters of Antifa around Oregon have collaborated to ignite fires around the state to draw attention to the #climateemergency. #antifafires #antifariots,"""The CDC lowered the PCR threshold while no longer recording asymptomatic cases...but only for the vaccinated.""",we and other chapters of antifa around oregon have collaborated to ignite fires around the state to draw attention to the climateemergency. antifafires antifariots
1893,US TROOPS BOOTS ON THE GROUND...,U.S. combat troops have been deployed to Ukraine,us troops boots on the ground...
1894,"#Nehru & #Indira style of awarding #BharatRatna to self.
 
 Congress Party has always been a disgrace on Indians. Good they're being eclipsed.","Nehru gave himself the Bharat Ratna in 1955 when he was the Prime Minister. Similarly, Indira Gandhi gave herself the Bharat Ratna in 1971 when she was the PM – SG Suryah",nehru indira style of awarding bharatratna to self. congress party has always been a disgrace on indians. good they are being eclipsed.
1895,"Durga Puja on Navratri by the Hindu community in Balochistan.
 #Balochistan was wrongly occupied by Pakistan.
 
 #navratri2022 
 #HappyNavratri2022","Durga Puja on Navratri by the Hindu community in Balochistan.
#Balochistan was wrongly occupied by Pakistan.
#navratri2022
#HappyNavratri2022",durga puja on navratri by the hindu community inch balochistan. balochistan was wrongly occupied by pakistan. navratri2022 happynavratri2022
1896,"Due to the spread of misinformation, our website is experiencing high traffic volumes at this time. If you are attempting to register or verify registration, please check back later today as we are working to resolve this issue. We appreciate your patience.",Says Donald Trump announced the start of the draft on Twitter.,"due to the spread of misinformation, our website is experiencing high traffic volumes at this time. if you are attempting to register or verify registration, please check back later today as we are working to resolve this issue. we appreciate your patience."
1897,"King Charles III signs a proclamation stating that Donald Trump won the 2020 Presidential election and is the rightful President by Law,",The claim: King Charles III signed a proclamation saying Trump won the 2020 presidential election ,"king charles iii signs a proclamation stating that donald trump won the 2020 presidential election and is the rightful president by law,"
1898,"This number is growing since this graphic. We're currently at 63,748 deaths from covid-19. In ~2 months. The Vietnam War took *11 years.*
",The number of COVID-19 deaths in the U.S. surpassed U.S. deaths in the Vietnam War by late April.,"this number is growing since this graphic. we are currently at 63,748 deaths from covid19. inch 2 months. the vietnam war took 11 years."
1899,"The White House CoronaVirus Task Force, headed by Vice President Mike Pence, has done a fantastic job of bringing together vast highly complex resources that have set a high standard for others to follow in the future. Ventilators, which were few & in bad shape, are now being....","""We are now doing more testing than all other countries combined.""","the white house coronavirus task force, headed by vice president mike pence, has done a fantastic job of bringing together vast highly complex resources that have set a high standard for others to follow inch the future. ventilators, which were few inch bad shape, are now being...."
1900,"Colloidal silver is a big-time go to almost any type of health issues especially if you are worried about covid-19. 

It can aid in wound healing, improve skin disorders, & either prevent or treat diseases like flu, pneumonia, herpes, eye infections, shingles, cancer, and AIDS.","A social media claims that colloidal silver treat almost any type of health issues, including COVID-19. We fact-checked and found this claim to be Mostly False. ","colloidal silver is a bigtime go to almost any type of health issues especially if you are worried about covid19. it can aid inch wound healing, improve skin disorders, either prevent or treat diseases like flu, pneumonia, herpes, eye infections, shingles, cancer, and acquired immunodeficiency syndrome."
1901,Jinnah was always right ..what a brave girl ..salute to her courage RanaAyyub may ALLAH be with her,Jinnah was always right ..what a brave girl ..salute to her courage RanaAyyub may ALLAH be with her,jinnah was always right ..what a brave girl ..salute to her courage ranaayyub may allah be with her
1902,#Gop #gqp,The claim: Social Security has 'nothing to do' with deficit and national debt,gop gqp
1903,"BREAKING: 
 @JoeBiden
  Announced The US #TaxPayers Will Now Be PAYING The #Pensions & #Welfare For The People Of #Ukraine.
 This, While MILLIONS Of Americans Can't Pay Food, Housing, Or Medical Due To Biden's Policies. Also, While Thousands Of Americans Are HOMELESS & On The Street!","“BREAKING: @JoeBiden Announced The US #TaxPayers Will Now Be PAYING The #Pensions & #Welfare For The People Of #Ukraine.""","breaking joebiden announced the us taxpayers will now be paying the pensions welfare for the people of ukraine. this, while millions of americans cannot pay food, housing, or medical due to bidens policies. also, while thousands of americans are homeless on the street!"
1904,"There are no humans on what they call the ""International Space Station""
 .
 .
 .
 .
 #unbearablesmedia #unauthorizedtv #owenbenjamin #iss #internationalspacestation",The claim: There aren't any humans on the International Space Station,there are no humans on what they call the international space station . . . . unbearablesmedia unauthorizedtv owenbenjamin iss internationalspacestation
